Gossip Runtime,Num. of Events,Num. of Consensus Events
994.342,19099,19069
1000.223,19167,19153
1003.169,19234,19220
1006.1,19291,19273
1009.062,19349,19327
1011.959,19409,19381
1014.976,19473,19463
1017.936,19530,19514
1020.939,19589,19569
1023.892,19653,19639
1026.909,19712,19690
1029.816,19771,19746
1032.883,19833,19811
1035.843,19893,19871
1038.886,19956,19942
1042.026,20016,20003
1044.909,20077,20063
1048.016,20138,20131
1050.826,20197,20190
1053.672,20257,20248
1056.543,20317,20302
1059.563,20377,20355
1062.592,20438,20418
1065.589,20498,20482
1068.529,20555,20532
1071.453,20616,20596
1074.459,20678,20666
1077.536,20737,20724
1080.516,20799,20790
1083.426,20856,20838
1086.256,20915,20903
1089.222,20973,20953
1092.249,21036,21023
1095.106,21095,21083
1098.043,21151,21133
1100.993,21211,21192
1103.923,21262,21249
1106.973,21329,21307
1109.936,21389,21371
1112.806,21450,21443
1115.803,21503,21489
1118.732,21566,21548
1121.709,21629,21616
1124.713,21690,21673
1127.789,21750,21736
1130.803,21808,21794
1133.799,21871,21857
1136.736,21933,21920
1139.679,21990,21972
1142.549,22048,22036
1145.513,22106,22093
1148.599,22170,22155
1151.519,22227,22216
1154.523,22288,22273
1157.519,22344,22320
1160.483,22406,22385
1163.516,22462,22439
1166.436,22522,22508
1169.586,22581,22560
1172.599,22643,22633
1175.509,22706,22696
1178.489,22763,22742
1181.526,22823,22799
1184.443,22883,22871
1187.472,22935,22907
1190.483,22998,22985
1193.459,23058,23042
1196.436,23116,23103
1199.383,23172,23154
1202.302,23239,23224
1205.419,23294,23282
1208.392,23353,23347
1211.292,23411,23402
1214.393,23473,23447
1217.462,23530,23510
1220.576,23590,23576
1223.696,23653,23641
1226.889,23713,23697
1229.992,23772,23755
1232.972,23833,23816
1235.933,23891,23869
1238.95,23952,23932
1241.916,24012,23999
1245.256,24072,24056
1248.206,24128,24116
1251.179,24191,24178
1254.146,24250,24237
1257.072,24301,24283
1260.129,24366,24346
1263.139,24426,24402
1266.179,24485,24473
1269.236,24545,24526
1272.363,24604,24575
1275.349,24662,24649
1278.403,24723,24706
1281.383,24775,24762
1284.446,24840,24828
1287.506,24897,24878
1290.553,24961,24949
1293.539,25020,25001
1296.466,25079,25063
1299.466,25123,25098
1302.633,25197,25188
1305.623,25254,25237
1308.616,25316,25302
1311.672,25376,25358
1315.079,25434,25425
1318.003,25495,25482
1321.049,25549,25533
1324.052,25610,25598
1327.089,25671,25656
1330.116,25731,25720
1333.066,25788,25773
1336.173,25851,25828
1339.212,25907,25888
1342.233,25971,25955
1345.216,26032,26025
1348.073,26086,26070
1350.999,26151,26137
1354.119,26207,26183
1357.103,26268,26248
1360.149,26325,26313
1363.102,26382,26372
1366.019,26445,26436
1368.902,26504,26487
1371.926,26564,26556
1374.833,26621,26608
1377.973,26681,26661
1380.849,26739,26723
1383.736,26800,26784
1386.699,26856,26844
1389.759,26905,26895
1392.883,26979,26958
1396.032,27033,27024
1398.969,27093,27079
1402.076,27154,27142
1405.019,27215,27198
1408.006,27274,27266
1411.093,27330,27310
1414.073,27393,27376
1416.956,27442,27426
1419.973,27505,27492
1423.083,27568,27559
1426.096,27626,27614
1429.009,27685,27673
1432.059,27746,27736
1435.073,27796,27783
1438.209,27865,27846
1441.236,27918,27901
1444.343,27984,27960
1447.476,28041,28024
1450.409,28101,28086
1453.422,28158,28143
1456.593,28221,28206
1459.65,28282,28265
1462.653,28339,28322
1465.636,28397,28385
1468.843,28459,28443
1471.939,28519,28508
1475.049,28578,28563
1478.006,28639,28618
1481.083,28697,28678
1484.136,28756,28735
1487.083,28817,28794
1490.146,28875,28858
1493.409,28930,28919
1496.609,28997,28982
1499.643,29053,29040
1502.782,29117,29103
1505.712,29172,29154
1508.693,29220,29211
1511.796,29293,29267
1516.033,29349,29338
1519.059,29412,29405
1522.289,29473,29460
1525.433,29532,29520
1528.576,29593,29579
1531.579,29649,29630
1534.686,29709,29690
1537.669,29766,29747
1540.669,29825,29814
1543.779,29885,29876
1546.883,29943,29927
1549.879,30000,29992
1553.029,30063,30038
1556.183,30123,30111
1559.339,30183,30163
1562.533,30242,30229
1565.566,30298,30277
1568.822,30364,30344
1571.959,30422,30399
1575.073,30481,30465
1578.046,30539,30533
