时间,CPU负载,内存使用量(KB),内存使用率(%)
16:37:48,1.78 1.67 1.69,964516,25
16:37:49,1.80 1.67 1.69,964916,25
16:37:50,1.80 1.67 1.69,964664,25
16:37:51,1.80 1.67 1.69,964516,25
16:37:52,1.80 1.67 1.69,964412,25
16:37:53,1.80 1.67 1.69,964160,25
16:37:54,1.82 1.68 1.69,963908,25
16:37:55,1.82 1.68 1.69,964444,25
16:37:56,1.82 1.68 1.69,965452,25
16:37:58,1.82 1.68 1.69,965808,25
16:37:59,1.83 1.68 1.69,965452,25
16:38:00,1.83 1.68 1.69,965452,25
16:38:01,1.83 1.68 1.69,965200,25
16:38:02,1.83 1.68 1.69,965304,25
16:38:03,1.83 1.68 1.69,965660,25
16:38:04,1.85 1.69 1.69,965452,25
16:38:05,1.85 1.69 1.69,965556,25
16:38:06,1.85 1.69 1.69,965956,25
16:38:07,1.85 1.69 1.69,965660,25
16:38:08,1.85 1.69 1.69,965808,25
16:38:09,1.94 1.71 1.70,966312,25
16:38:10,1.94 1.71 1.70,965704,25
16:38:11,1.94 1.71 1.70,966208,25
16:38:13,1.94 1.71 1.70,966712,25
16:38:14,1.94 1.72 1.70,966416,25
16:38:15,1.94 1.72 1.70,966460,25
16:38:16,1.94 1.72 1.70,966460,25
16:38:17,1.94 1.72 1.70,966208,25
16:38:18,1.94 1.72 1.70,965704,25
16:38:19,1.95 1.72 1.71,965704,25
16:38:20,1.95 1.72 1.71,965704,25
16:38:21,1.95 1.72 1.71,965452,25
16:38:22,1.95 1.72 1.71,965956,25
16:38:23,1.95 1.72 1.71,965452,25
16:38:24,1.87 1.71 1.70,965704,25
16:38:25,1.87 1.71 1.70,965956,25
16:38:27,1.87 1.71 1.70,965704,25
16:38:28,1.87 1.71 1.70,966312,25
16:38:29,1.80 1.70 1.70,966460,25
16:38:30,1.80 1.70 1.70,966964,25
16:38:31,1.80 1.70 1.70,966208,25
16:38:32,1.80 1.70 1.70,966564,25
16:38:33,1.80 1.70 1.70,966964,25
16:38:34,1.74 1.68 1.69,966624,25
16:38:35,1.74 1.68 1.69,966712,25
16:38:36,1.74 1.68 1.69,966964,25
16:38:37,1.74 1.68 1.69,966728,25
16:38:38,1.74 1.68 1.69,967084,25
16:38:39,1.68 1.67 1.69,966848,25
16:38:41,1.68 1.67 1.69,966492,25
16:38:42,1.68 1.67 1.69,967100,25
16:38:43,1.68 1.67 1.69,966804,25
16:38:44,1.62 1.66 1.69,966848,25
16:38:45,1.62 1.66 1.69,967248,25
16:38:46,1.62 1.66 1.69,967204,25
16:38:47,1.62 1.66 1.69,966848,25
