时间,CPU负载,内存使用量(KB),内存使用率(%)
2024-05-02 13:24:29,1.62 1.66 1.34,823772,21
2024-05-02 13:24:30,1.62 1.66 1.34,823668,21
2024-05-02 13:24:31,1.62 1.66 1.34,823772,21
2024-05-02 13:24:32,1.62 1.66 1.34,823920,21
2024-05-02 13:24:33,1.65 1.66 1.34,824276,21
2024-05-02 13:24:34,1.65 1.66 1.34,824128,21
2024-05-02 13:24:35,1.65 1.66 1.34,824024,21
2024-05-02 13:24:37,1.65 1.66 1.34,823284,21
2024-05-02 13:24:38,1.65 1.66 1.34,823980,21
2024-05-02 13:24:39,1.68 1.67 1.35,823624,21
2024-05-02 13:24:40,1.68 1.67 1.35,823668,21
2024-05-02 13:24:41,1.68 1.67 1.35,824128,21
2024-05-02 13:24:42,1.68 1.67 1.35,823772,21
2024-05-02 13:24:43,1.71 1.68 1.35,824024,21
2024-05-02 13:24:44,1.71 1.68 1.35,823876,21
2024-05-02 13:24:45,1.71 1.68 1.35,823772,21
2024-05-02 13:24:46,1.71 1.68 1.35,824380,21
2024-05-02 13:24:47,1.71 1.68 1.35,823520,21
2024-05-02 13:24:48,1.73 1.68 1.36,824024,21
2024-05-02 13:24:49,1.73 1.68 1.36,823416,21
2024-05-02 13:24:50,1.73 1.68 1.36,823520,21
2024-05-02 13:24:51,1.73 1.68 1.36,823164,21
2024-05-02 13:24:53,1.73 1.68 1.36,823164,21
2024-05-02 13:24:54,1.75 1.69 1.36,823328,21
2024-05-02 13:24:55,1.75 1.69 1.36,823416,21
2024-05-02 13:24:56,1.75 1.69 1.36,823624,21
2024-05-02 13:24:57,1.75 1.69 1.36,823920,21
2024-05-02 13:24:58,1.77 1.69 1.36,823520,21
2024-05-02 13:24:59,1.77 1.69 1.36,823772,21
2024-05-02 13:25:00,1.77 1.69 1.36,823640,21
2024-05-02 13:25:01,1.77 1.69 1.36,824188,21
2024-05-02 13:25:02,1.77 1.69 1.36,823848,21
2024-05-02 13:25:03,1.71 1.68 1.36,823684,21
2024-05-02 13:25:04,1.71 1.68 1.36,823936,21
2024-05-02 13:25:05,1.71 1.68 1.36,823936,21
2024-05-02 13:25:06,1.71 1.68 1.36,823848,21
2024-05-02 13:25:07,1.71 1.68 1.36,823936,21
2024-05-02 13:25:09,1.73 1.69 1.37,823684,21
2024-05-02 13:25:10,1.73 1.69 1.37,823788,21
2024-05-02 13:25:11,1.73 1.69 1.37,823936,21
2024-05-02 13:25:12,1.73 1.69 1.37,823996,21
2024-05-02 13:25:13,1.73 1.69 1.37,824292,21
2024-05-02 13:25:14,1.76 1.69 1.37,824188,21
2024-05-02 13:25:15,1.76 1.69 1.37,824188,21
2024-05-02 13:25:16,1.76 1.69 1.37,823892,21
2024-05-02 13:25:17,1.76 1.69 1.37,823432,21
2024-05-02 13:25:18,1.70 1.68 1.37,823788,21
2024-05-02 13:25:19,1.70 1.68 1.37,823432,21
2024-05-02 13:25:20,1.70 1.68 1.37,824440,21
2024-05-02 13:25:21,1.70 1.68 1.37,824544,21
2024-05-02 13:25:22,1.70 1.68 1.37,824292,21
2024-05-02 13:25:23,1.64 1.67 1.36,824396,21
2024-05-02 13:25:24,1.64 1.67 1.36,824292,21
2024-05-02 13:25:26,1.64 1.67 1.36,824544,21
2024-05-02 13:25:27,1.64 1.67 1.36,824440,21
2024-05-02 13:25:28,1.64 1.67 1.36,824292,21
2024-05-02 13:25:29,1.59 1.66 1.36,823936,21
2024-05-02 13:25:30,1.59 1.66 1.36,824040,21
2024-05-02 13:25:31,1.59 1.66 1.36,824040,21
2024-05-02 13:25:32,1.59 1.66 1.36,824144,21
2024-05-02 13:25:33,1.62 1.66 1.37,824796,21
2024-05-02 13:25:34,1.62 1.66 1.37,824188,21
2024-05-02 13:25:35,1.62 1.66 1.37,824188,21
2024-05-02 13:25:36,1.62 1.66 1.37,823892,21
2024-05-02 13:25:37,1.62 1.66 1.37,824188,21
2024-05-02 13:25:38,1.57 1.65 1.36,823788,21
2024-05-02 13:25:39,1.57 1.65 1.36,824040,21
2024-05-02 13:25:40,1.57 1.65 1.36,824440,21
2024-05-02 13:25:42,1.57 1.65 1.36,824188,21
2024-05-02 13:25:43,1.57 1.65 1.36,823936,21
2024-05-02 13:25:44,1.61 1.66 1.37,824188,21
2024-05-02 13:25:45,1.61 1.66 1.37,824292,21
2024-05-02 13:25:46,1.61 1.66 1.37,824944,21
2024-05-02 13:25:47,1.61 1.66 1.37,824692,21
2024-05-02 13:25:48,1.64 1.66 1.37,824692,21
2024-05-02 13:25:49,1.64 1.66 1.37,824188,21
2024-05-02 13:25:50,1.64 1.66 1.37,824544,21
2024-05-02 13:25:51,1.64 1.66 1.37,824440,21
2024-05-02 13:25:52,1.64 1.66 1.37,824188,21
2024-05-02 13:25:53,1.67 1.67 1.37,824544,21
2024-05-02 13:25:54,1.67 1.67 1.37,824440,21
2024-05-02 13:25:55,1.67 1.67 1.37,824692,21
2024-05-02 13:25:56,1.67 1.67 1.37,823892,21
2024-05-02 13:25:58,1.67 1.67 1.37,823936,21
2024-05-02 13:25:59,1.69 1.67 1.38,824040,21
2024-05-02 13:26:00,1.69 1.67 1.38,824752,21
2024-05-02 13:26:01,1.69 1.67 1.38,824916,21
2024-05-02 13:26:02,1.69 1.67 1.38,824456,21
2024-05-02 13:26:03,1.72 1.68 1.38,824664,21
2024-05-02 13:26:04,1.72 1.68 1.38,824708,21
2024-05-02 13:26:05,1.72 1.68 1.38,824664,21
2024-05-02 13:26:06,1.72 1.68 1.38,824916,21
2024-05-02 13:26:07,1.72 1.68 1.38,824664,21
2024-05-02 13:26:08,1.74 1.69 1.38,824960,21
2024-05-02 13:26:09,1.74 1.69 1.38,825316,21
2024-05-02 13:26:10,1.74 1.69 1.38,825064,21
2024-05-02 13:26:11,1.74 1.69 1.38,824960,21
2024-05-02 13:26:12,1.74 1.69 1.38,824960,21
2024-05-02 13:26:14,1.76 1.69 1.39,824308,21
2024-05-02 13:26:15,1.76 1.69 1.39,824056,21
2024-05-02 13:26:16,1.76 1.69 1.39,823656,21
2024-05-02 13:26:17,1.76 1.69 1.39,823804,21
2024-05-02 13:26:18,1.76 1.69 1.39,823968,21
2024-05-02 13:26:19,2.18 1.78 1.42,824056,21
2024-05-02 13:26:20,2.18 1.78 1.42,824204,21
2024-05-02 13:26:21,2.18 1.78 1.42,824456,21
2024-05-02 13:26:22,2.18 1.78 1.42,824412,21
2024-05-02 13:26:23,2.09 1.77 1.41,824708,21
2024-05-02 13:26:24,2.09 1.77 1.41,824204,21
2024-05-02 13:26:25,2.09 1.77 1.41,824204,21
2024-05-02 13:26:26,2.09 1.77 1.41,823804,21
2024-05-02 13:26:27,2.09 1.77 1.41,824812,21
2024-05-02 13:26:28,2.00 1.75 1.41,824960,21
2024-05-02 13:26:29,2.00 1.75 1.41,824516,21
2024-05-02 13:26:31,2.00 1.75 1.41,824664,21
2024-05-02 13:26:32,2.00 1.75 1.41,824916,21
2024-05-02 13:26:33,2.00 1.75 1.41,824708,21
2024-05-02 13:26:34,1.92 1.74 1.41,824560,21
2024-05-02 13:26:35,1.92 1.74 1.41,824160,21
2024-05-02 13:26:36,1.92 1.74 1.41,825212,21
2024-05-02 13:26:37,1.92 1.74 1.41,824560,21
2024-05-02 13:26:38,1.85 1.73 1.41,824308,21
2024-05-02 13:26:39,1.85 1.73 1.41,824412,21
2024-05-02 13:26:40,1.85 1.73 1.41,824308,21
2024-05-02 13:26:41,1.85 1.73 1.41,824560,21
2024-05-02 13:26:42,1.85 1.73 1.41,823700,21
2024-05-02 13:26:43,1.78 1.72 1.41,824708,21
2024-05-02 13:26:44,1.78 1.72 1.41,824368,21
2024-05-02 13:26:45,1.78 1.72 1.41,823952,21
2024-05-02 13:26:47,1.78 1.72 1.41,824204,21
2024-05-02 13:26:48,1.78 1.72 1.41,824708,21
2024-05-02 13:26:49,1.72 1.70 1.40,824708,21
2024-05-02 13:26:50,1.72 1.70 1.40,825064,21
2024-05-02 13:26:51,1.72 1.70 1.40,825064,21
2024-05-02 13:26:52,1.72 1.70 1.40,824708,21
2024-05-02 13:26:53,1.66 1.69 1.40,824812,21
